id,gold,gold_multi,pred,text,votes,top_votes,K,confidence,correct
476,Athlete,Athlete,Athlete,Harry Digweed.  Harry Digweed (1878 – 1965) was an English footballer who played in the Football League for Burton United and the Southern League for Plymouth Argyle and Portsmouth. He was a half back.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 5, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",5,5,1.0,1
477,OfficeHolder,OfficeHolder,OfficeHolder,Guy Powles.  Sir Guy Richardson Powles ONZ KBE CMG ED (5 April 1905 - 24 October 1994) was a New Zealand diplomat the last Governor of Western Samoa and architect of Samoan independence and New Zealand's first Ombudsman.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 5, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",5,5,1.0,1
478,Building,Building,Building,Brattle Hall.  Brattle Hall is a historic building at 40 Brattle Street in Harvard Square Cambridge Massachusetts. The Colonial Revival building was constructed in 1889 for the Cambridge Social Union to a design by Longfellow Alden & Harlow. The Union was established as a social club in 1871 and moved into the adjacent William Brattle House in 1889. The hall was built to house the organization's library and to provide a space for larger meetings and social functions.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 5, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",5,5,1.0,1
479,EducationalInstitution,EducationalInstitution,EducationalInstitution,De Lisle College.  De Lisle College (formerly De Lisle Roman Catholic Comprehensive School then De Lisle Catholic Science College and sometimes called De Lisle School) is a co-educational secondary school with academy status in Loughborough Leicestershire England. At the time of its 2000 Ofsted inspection it had 1223 pupils including 160 in the sixth form. It was designated as a science specialist school in 2003.,"{""Company"": 2, ""EducationalInstitution"": 3, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",3,5,0.6,1
480,NaturalPlace,NaturalPlace,Building,Slimnic River (Vișa).  The Slimnic River is a tributary of the Vișa River in Romania.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 3, ""NaturalPlace"": 2, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",3,5,0.6,0
481,Company,Company,Company,Telme Clothing.  Telmé Clothing a New Jersey-based apparel company was created by Kevin Shane a graduate of Babson College and The Peddie School.,"{""Company"": 5, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",5,5,1.0,1
482,MeanOfTransportation,MeanOfTransportation,Company,Airmass Sunburst.  The Airmass Sunburst is an American ultralight aircraft that was designed by John Massey and produced by Airmass Inc. in the early 1980s. The aircraft was supplied as a kit for amateur construction.,"{""Company"": 5, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",5,5,1.0,0
483,Building,Building,Building,St Paul's Church Scotforth.  St Paul's Church Scotforth is in Scotforth a suburb of Lancaster Lancashire England. It has been designated by English Heritage as a Grade II listed building. It is an active Anglican parish church in the deanery of Lancaster the archdeaconry of Lancaster and Morecambe and the diocese of Blackburn. The architectural historian Nikolaus Pevsner described it as a strange building and an anachronism almost beyond belief.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 5, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",5,5,1.0,1
484,Album,Album,Film,The Girl with the Dragon Tattoo (soundtrack).  The Girl with the Dragon Tattoo is an ambient soundtrack by Trent Reznor (from Nine Inch Nails) and Atticus Ross for David Fincher's film of the same name. It was released on December 9 2011. This is the second soundtrack that Reznor and Ross have worked on together the previous being the Oscar-winning The Social Network also for Fincher.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 5, ""WrittenWork"": 0}",5,5,1.0,0
485,WrittenWork,WrittenWork,Company,From Earth to Heaven.  From Earth to Heaven is a collection of seventeen scientific essays by Isaac Asimov. It was the fifth of a series of books collecting essays from The Magazine of Fantasy and Science Fiction. It was first published by Doubleday & Company in 1966.,"{""Company"": 3, ""EducationalInstitution"": 0, ""Artist"": 2, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",3,5,0.6,0
486,Building,Building,OfficeHolder,Nokomis Community Library.  Nokomis Community Library is a branch library serving the Nokomis East area of Minneapolis Minnesota. One of 41 libraries in the Hennepin County Library System Nokomis was designed by Buetow and Associates Inc and opened in 1968 as a replacement for the nearby Longfellow Community Library.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 4, ""MeanOfTransportation"": 0, ""Building"": 1, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",4,5,0.8,0
487,Artist,Artist,Artist,Lynda Barry.  Lynda Jean Barry (born January 2 1956) is an American cartoonist and author. Barry is best known for her weekly comic strip Ernie Pook's Comeek. She garnered attention with her 1988 illustrated novel The Good Times are Killing Me about an interracial friendship between two young girls which was made into a play. Her second illustrated novel Cruddy appeared in 1999. Three years later she published One! Hundred! Demons! a graphic novel she terms Autobiofictionalography.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 5, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",5,5,1.0,1
488,Village,Village,Village,Brnjaci.  Brnjaci is a village in the municipality of Kiseljak Bosnia and Herzegovina.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 5, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",5,5,1.0,1
489,NaturalPlace,NaturalPlace,Building,Øljunuten.  Øljunuten is a mountain of Buskerud in southern Norway.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 1, ""NaturalPlace"": 1, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",1,5,0.2,0
490,Athlete,Athlete,Athlete,Jean Paul Pineda.  Jean Paul Jesús Pineda Cortés (born 24 April 1989) is a Chilean footballer that currently plays for Chilean Primera División club Cobresal as striker.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 5, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",5,5,1.0,1
491,Film,Film,Film,Pasumpon.  Pasumpon is a 1995 Indian Tamil drama film directed by P. Bharathiraja starring Prabhu Sivaji Ganesan Sivakumar Raadhika Sarathkumar and Saranya Ponvannan in lead roles. The film produced by V. Mohan and V. Natarajan had musical score by Vidyasagar and was released on 14 April 1995.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 5, ""WrittenWork"": 0}",5,5,1.0,1
492,MeanOfTransportation,MeanOfTransportation,Company,Honda Civic GX.  The Honda Civic GX is the only car factory-built to run on compressed natural gas (CNG) in the U.S. available to non-fleet customers. The GX is based on the Honda Civic and is available for fleet sales in all 50 states in the US. It was previously available for retail sales in four states (California New York Utah and Oklahoma) but as of October 18 2011 the Civic GX is available to retail consumers in 35 states throughout the U.S.,"{""Company"": 5, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",5,5,1.0,0
493,MeanOfTransportation,MeanOfTransportation,Company,TSS Fairstar.  TSS (twin-screw steamer) Fairstar (Fairstar the Fun Ship) was a popular Australian based cruise ship operating out of Sydney for 22 years. Originally completed in 1957 as the British troopship Oxfordshire was converted to become the Fairstar in 1964 for immigrant voyages and from December 1974 was permanently engaged in cruising.,"{""Company"": 3, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 2, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",3,5,0.6,0
494,Animal,Animal,Animal,Stichopogon.  Stichopogon is a genus of small robber flies of the subfamily Dasypogoninae.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 5, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",5,5,1.0,1
495,Company,Company,Company,Pxmart.  Pxmart Co. Ltd. (T: 全聯實業股份有限公司 S: 全联实业股份有限公司 P: Quánlián Shíyè Gǔfènyǒuxiàngōngsī) operating as Pxmart (T:全聯社 S: 全聯社 P: Quánlián Shè) is a supermarket chain in Taiwan. It is often known as Chuan Lian center (T: 全聯福利中心 S: 全联福利中心 P: Quánlián Fúlì Zhōngxīn). The corporate headquarters is in Zhongzheng District Taipei. As of 2011 the chaiperson is Lin Ming-hsiung (林敏雄 Lín Mǐnxióng). As of 2008 Pxmart is Taiwan's largest hard discounter chain.,"{""Company"": 5, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",5,5,1.0,1
496,NaturalPlace,NaturalPlace,Building,Ōu Mountains.  The Ōu Mountains (奥羽山脈 Ōu-sanmyaku) are a mountain range in the Tōhoku region of Honshū Japan. The range is the longest range in Japan and stretch 500 km (311 mi) south from the Natsudomari Peninsula of Aomori Prefecture to the Nasu volcanoes at the northern boundary of the Kantō region. Though long the range is only about 35 kilometres (22 mi) wide.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 3, ""NaturalPlace"": 2, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",3,5,0.6,0
497,Building,Building,Building,Winthrop Building.  Winthrop Building is an historic steel frame skyscraper at 7 Water Street (intersection with Washington Street) in Boston Massachusetts.The early skyscraper was built in 1894 on the site of Puritan Governor John Winthrop's second house (mansion house) in downtown Boston. The building was added to the National Historic Register in 1974. Famous tenants include Landscape Architect Fletcher Steele in the 1920s. The building formerly housed Lourie & Cutler PC.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 5, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",5,5,1.0,1
498,Album,Album,Album,Warm Strangers.  Warm Strangers is singer-songwriter Vienna Teng's second album.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 5, ""Film"": 0, ""WrittenWork"": 0}",5,5,1.0,1
499,WrittenWork,WrittenWork,WrittenWork,The Letters of J. R. R. Tolkien.  The Letters of J. R. R. Tolkien (ISBN 0-618-05699-8) is a selection of J. R. R. Tolkien's letters published in 1981 edited by Tolkien's biographer Humphrey Carpenter assisted by Christopher Tolkien. The selection contains 354 letters dating between October 1914 when Tolkien was an undergraduate at Oxford and August 29 1973 four days before his death.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 5}",5,5,1.0,1
500,Athlete,Athlete,Athlete,Herb Thomas (baseball).  Herbert Mark Thomas (May 26 1902 in Sampson City Florida – December 4 1991 in Starke Florida) was a right-handed minor and major league baseball player and minor league manager. Although his major league career lasted only three seasons 1924 1925 and 1927 for two different teams the Boston Braves and New York Giants his minor league career spanned 17 seasons. He played professionally in three different decades.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 5, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",5,5,1.0,1
501,Album,Album,Artist,Kicking a Couple Around.  Kicking a Couple Around is the third EP by Bill Callahan (also known as Smog) released on Drag City in April 1996 and re-released in Europe on Domino in 2001. Your New Friend was originally recorded during a 1994 John Peel radio session.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 5, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",5,5,1.0,0
502,WrittenWork,WrittenWork,WrittenWork,Ghost Force (novel).  Ghost Force is a 2006 publication the most recent novel in a series of works by British author Patrick Robinson. It contains characters found in previous Robinson novels.,"{""Company"": 2, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 3}",3,5,0.6,1
503,EducationalInstitution,EducationalInstitution,EducationalInstitution,Parle Tilak Vidyalaya English Medium School.  Parle Tilak Vidyalaya English Medium School ('P. T. V. E. M. S.') is an English medium school located in Vile Parle East in Mumbai India. The school has Primary and Secondary Sections. The school produces merit list rankers in the Maharashtra State Secondary Board examinations year after year[citation needed]. The school is part of the Parle Tilak Vidyalaya Association which runs a number of schools and colleges mainly in Vile Parle Andheri and Mulund.,"{""Company"": 0, ""EducationalInstitution"": 3, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 1, ""MeanOfTransportation"": 0, ""Building"": 1, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",3,5,0.6,1
504,Athlete,Athlete,Athlete,Ladislav Martan.  Ladislav Martan (born 2 October 1989) is a Czech football striker currently playing for 1. FC Slovácko.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 5, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",5,5,1.0,1
505,MeanOfTransportation,MeanOfTransportation,OfficeHolder,HMS Astute (P447).  HMS Astute (P447) was an Amphion-class submarine. Her keel was laid down by Vickers at Barrow-in-Furness. She was launched in 1944 and commissioned in 1945.In 1953 she took part in the Fleet Review to celebrate the Coronation of Queen Elizabeth II.Astute was scrapped on 1 October 1970 at Dunston on Tyne.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 1, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",1,5,0.2,0
506,Athlete,Athlete,Athlete,Terron Armstead.  Terron Armstead (born July 23 1991) is an American football offensive tackle for the New Orleans Saints of the National Football League (NFL). Armstead played college football for the University of Arkansas at Pine Bluff. The New Orleans Saints chose him in the third round of the 2013 NFL Draft.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 5, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",5,5,1.0,1
507,EducationalInstitution,EducationalInstitution,OfficeHolder,Airlink International Aviation School.  Air Link International Aviation is a college for aviation professionals located in Pasay City Metro Manila Philippines.Founded in 1982 by Captain Geronimo Amuraoa Philippine Airlines pilot the college has around 2500 students. The main campus features 28 aircraft both single and twin engined and a hangar next to a classroom building. There is also a remote resort where students can rest and recreate during multi-day training sessions.,"{""Company"": 2, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 3, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",3,5,0.6,0
508,Building,Building,Building,Church Hill Farm.  Church Hill Farm is a historic home and farm complex located at Peters Township in Franklin County Pennsylvania. The house is a three-part two story stone and frame dwelling. It has two three-bay stone sections dated to the 1820s or 1830s with a two-story frame addition dated between 1840 and 1900. Also on the property are a contributing barn out kitchen corn crib and wagon shed.It was listed on the National Register of Historic Places in 1980.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 5, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",5,5,1.0,1
509,Village,Village,Village,Adampur Mouchri.  Adampur Mouchri is a village near the town of Khatauli in Muzaffarnagar district Uttar Pradesh India.The village is located 8 kilometres (5.0 mi) from Khatauli.There is one primary school in Adampur Mouchri and two nursery schools.Adampur Mouchri consists two major castes which are Gurjar and Saini. The total population of the village is near about 1000 people distributed among 60 to 70 residences.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 5, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",5,5,1.0,1
510,Village,Village,Village,Nadzów.  Nadzów [ˈnad͡zuf] is a village in the administrative district of Gmina Pałecznica within Proszowice County Lesser Poland Voivodeship in southern Poland. It lies approximately 6 kilometres (4 mi) south of Pałecznica 6 km (4 mi) north of Proszowice and 35 km (22 mi) north-east of the regional capital Kraków.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 5, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",5,5,1.0,1
511,Animal,Animal,Animal,Brown-banded water snake.  The brown-banded water snake Helicops angulatus is an aquatic snake found in tropical South America and Trinidad and Tobago.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 5, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",5,5,1.0,1
512,Album,Album,Album,Back to Life (Sandra album).  Back to Life is the ninth studio album by German singer Sandra released in 2009.The album was recorded in New York and while working on it Sandra was collaborating with Thomas Anders (famous for his work with Modern Talking) and Toby Gad (famous for his work with Beyoncé Knowles Fergie Shakira and others). The album contains 15 songs most of which were written by Toby Gad.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 5, ""Film"": 0, ""WrittenWork"": 0}",5,5,1.0,1
513,Company,Company,Company,Bank of America.  The Bank of America Corporation is an American multinational banking and financial services corporation headquartered in Charlotte North Carolina. It is the second largest bank holding company in the United States by assets. As of 2010 Bank of America is the fifth-largest company in the United States by total revenue and the third-largest non-oil company in the U.S. (after Walmart and General Electric).,"{""Company"": 5, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",5,5,1.0,1
514,MeanOfTransportation,MeanOfTransportation,OfficeHolder,HMS Blenheim (1761).  HMS Blenheim was a 90-gun second rate ship of the line of the Royal Navy launched on 5 July 1761 at Woolwich.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 4, ""MeanOfTransportation"": 0, ""Building"": 1, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",4,5,0.8,0
515,Building,Building,OfficeHolder,Sam Rayburn House Museum.  The Sam Rayburn House Museum is located in the North Texas town of Bonham in the county of Fannin in the U.S. state of Texas. It was home to Sam Rayburn a famously effective Speaker of the United States House of Representatives.The house was built in 1916. All the furnishings are original and remain as they were when the Rayburns lived there.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 3, ""MeanOfTransportation"": 0, ""Building"": 2, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",3,5,0.6,0
516,Company,Company,Company,Visco Corporation.  Visco Corporation (株式会社ビスコ) is a Japanese software company located in Kita-ku Kyoto Japan. It was founded in 1982 by Tetsuo Akiyama (秋山　哲雄 Akiyama Tetsuo) and later became corporate on August 8 1983 while revealing itself as Visco in Kanamecho Toshima Tokyo Japan. They originally developed video games for several platforms from the arcades and NES to the Nintendo 64 and Neo Geo in the past.,"{""Company"": 5, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",5,5,1.0,1
517,NaturalPlace,NaturalPlace,NaturalPlace,Icui River.  The Icui River is a tributary of the Bega River in Romania.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 5, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",5,5,1.0,1
518,Company,Company,Company,Krstarica.  Krstarica (English: Cruiser) is one of the most visited web portals in Serbia. It was founded in March 1999.Includes search engine up-to-date daily news from Serbia directory of the local sites grouped by the topics and variety of content.Krstarica has 1.6 million visitors per month.,"{""Company"": 4, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 1, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",4,5,0.8,1
519,MeanOfTransportation,MeanOfTransportation,Company,John M. Osborn.  The John M Osborn’s short career as a wooden steam barge lasted just two years. The Osborn sank with the loss of five lives when she was rammed by the larger steel hulled Alberta who was called a “steel monster and terror of the lakes. The Osborn’s wreck was discovered 100 years after her sinking. The wreck was illegally salvaged in the 1980s. Many of the Osborn’s artifacts became the property of the State of Michigan after they were seized from Great Lakes Shipwreck Museum.,"{""Company"": 4, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 1, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",4,5,0.8,0
520,Plant,Plant,Plant,Topobea pascoensis.  Topobea pascoensis is a species of plant in the Melastomataceae family. It is endemic to Peru.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 5, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",5,5,1.0,1
